# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   8.5500000E-01   1.3289474E+04   6.2506293E+06   0.0000000E+00
   8.6500000E-01   1.3293460E+04   6.2531095E+06   0.0000000E+00
   8.7500000E-01   1.3297087E+04   6.2554799E+06   0.0000000E+00
   8.8500000E-01   1.3300320E+04   6.2577310E+06   0.0000000E+00
   8.9500000E-01   1.3303119E+04   6.2598507E+06   0.0000000E+00
   9.0500000E-01   1.3305438E+04   6.2618240E+06   0.0000000E+00
   9.1500000E-01   1.3307216E+04   6.2636317E+06   0.0000000E+00
   9.2500000E-01   1.3308383E+04   6.2652486E+06   0.0000000E+00
   9.3500000E-01   1.3308845E+04   6.2666415E+06   0.0000000E+00
   9.4500000E-01   1.3308475E+04   6.2677694E+06   0.0000000E+00
   9.5500000E-01   1.3307086E+04   6.2685212E+06   0.0000000E+00
   9.6500000E-01   1.3304398E+04   6.2688600E+06   0.0000000E+00
   9.7500000E-01   1.3299881E+04   6.2685193E+06   0.0000000E+00
   9.8500000E-01   1.3292133E+04   6.2638236E+06   0.0000000E+00
   9.9500000E-01   1.3268195E+04   6.1439857E+06   0.0000000E+00
