# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   8.3500000E-01   4.3771992E+02  -6.6344385E+04   0.0000000E+00
   8.4500000E-01   4.3772725E+02  -6.6331694E+04   0.0000000E+00
   8.5500000E-01   4.3773440E+02  -6.6319144E+04   0.0000000E+00
   8.6500000E-01   4.3774135E+02  -6.6306699E+04   0.0000000E+00
   8.7500000E-01   4.3774808E+02  -6.6294313E+04   0.0000000E+00
   8.8500000E-01   4.3775456E+02  -6.6281922E+04   0.0000000E+00
   8.9500000E-01   4.3776073E+02  -6.6269438E+04   0.0000000E+00
   9.0500000E-01   4.3776650E+02  -6.6256727E+04   0.0000000E+00
   9.1500000E-01   4.3777176E+02  -6.6243590E+04   0.0000000E+00
   9.2500000E-01   4.3777628E+02  -6.6229708E+04   0.0000000E+00
   9.3500000E-01   4.3777968E+02  -6.6214551E+04   0.0000000E+00
   9.4500000E-01   4.3778128E+02  -6.6197198E+04   0.0000000E+00
   9.5500000E-01   4.3777972E+02  -6.6175922E+04   0.0000000E+00
   9.6500000E-01   4.3777202E+02  -6.6148036E+04   0.0000000E+00
   9.7500000E-01   4.3775143E+02  -6.6107672E+04   0.0000000E+00
   9.8500000E-01   4.3769639E+02  -6.6089821E+04   0.0000000E+00
   9.9500000E-01   4.3741500E+02  -6.7624059E+04   0.0000000E+00
