# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   8.3500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   8.4500000E-01   8.0000000E+02  -1.2732926E-07   0.0000000E+00
   8.5500000E-01   8.0000000E+02  -1.2846613E-07   0.0000000E+00
   8.6500000E-01   8.0000000E+02  -1.2619239E-07   0.0000000E+00
   8.7500000E-01   8.0000000E+02  -1.2619239E-07   0.0000000E+00
   8.8500000E-01   8.0000000E+02  -1.2732926E-07   0.0000000E+00
   8.9500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   9.0500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   9.1500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   9.2500000E-01   8.0000000E+02  -1.2732926E-07   0.0000000E+00
   9.3500000E-01   8.0000000E+02  -1.2732926E-07   0.0000000E+00
   9.4500000E-01   8.0000000E+02  -1.2391865E-07   0.0000000E+00
   9.5500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   9.6500000E-01   8.0000000E+02  -1.2732926E-07   0.0000000E+00
   9.7500000E-01   8.0000000E+02  -1.2505552E-07   0.0000000E+00
   9.8500000E-01   8.0000000E+02  -1.2846613E-07   0.0000000E+00
   9.9500000E-01   8.0000000E+02  -1.2619239E-07   0.0000000E+00
